step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
145,378384,2320,0.01554330382880841,1.0,1.0,0.018816302995161637,1.0,1.0,,,,,,
146,381088,2336,0.01783811253514364,1.0,1.0,,,,,,,,,
147,383536,2352,0.015648251024731243,1.0,1.0,,,,,,,,,
148,386112,2368,0.015335402292484663,1.0,1.0,,,,,,,,,
149,388560,2384,0.016813347517354183,1.0,1.0,,,,,,,,,
150,391136,2400,0.01562782176771456,1.0,1.0,,,,,,,,,
151,393584,2416,0.018254723665209322,1.0,1.0,,,,,,,,,
152,396160,2432,0.018289963552160463,1.0,1.0,,,,,,,,,
153,398736,2448,0.016551299962040945,1.0,1.0,0.017007620783656086,1.0,1.0,,,,,,
154,401440,2464,0.01772844054408678,1.0,1.0,,,,,,,,,
155,404016,2480,0.017664662535478725,1.0,1.0,,,,,,,,,
156,406720,2496,0.016585303163907127,1.0,1.0,,,,,,,,,
157,409296,2512,0.01758598573089925,1.0,1.0,,,,,,,,,
158,411872,2528,0.017635995816364013,1.0,1.0,,,,,,,,,
159,414448,2544,0.016634661548107953,1.0,1.0,,,,,,,,,
160,417024,2560,0.01651730376878367,1.0,1.0,,,,,,,,,
161,419600,2576,0.014842951048012188,1.0,1.0,0.015596317695436469,1.0,1.0,,,,,,
162,422176,2592,0.015563109743032788,1.0,1.0,,,,,,,,,
163,424624,2608,0.016914041382797042,1.0,1.0,,,,,,,,,
164,427200,2624,0.017662819118263513,1.0,1.0,,,,,,,,,
165,429776,2640,0.017015376651051344,1.0,1.0,,,,,,,,,
166,432352,2656,0.015542189154623623,1.0,1.0,,,,,,,,,
167,434800,2672,0.017290962758970265,1.0,1.0,,,,,,,,,
168,437376,2688,0.016804056479112088,1.0,1.0,,,,,,,,,
169,439952,2704,0.017196457372369276,1.0,1.0,0.018979954871529637,1.0,1.0,,,,,,
170,442400,2720,0.018500028260833072,1.0,1.0,,,,,,,,,
171,444848,2736,0.01723799615859564,1.0,1.0,,,,,,,,,
172,447552,2752,0.014901411327007133,1.0,1.0,,,,,,,,,
173,450256,2768,0.01729460067443997,1.0,1.0,,,,,,,,,
174,452832,2784,0.016075353440741444,1.0,1.0,,,,,,,,,
175,455408,2800,0.017585033103958668,1.0,1.0,,,,,,,,,
176,457984,2816,0.018602634024085938,1.0,1.0,,,,,,,,,
177,460560,2832,0.018263903940415094,1.0,1.0,0.01707934495578156,1.0,1.0,,,,,,
178,463264,2848,0.016488810730896315,1.0,1.0,,,,,,,,,
179,465712,2864,0.01632771412092764,1.0,1.0,,,,,,,,,
180,468288,2880,0.014894897945803339,1.0,1.0,,,,,,,,,
181,470864,2896,0.017414700393593763,1.0,1.0,,,,,,,,,
182,473440,2912,0.01879361898014325,1.0,1.0,,,,,,,,,
183,476016,2928,0.016897280942388276,1.0,1.0,,,,,,,,,
184,478720,2944,0.018796280404025492,1.0,1.0,,,,,,,,,
185,481296,2960,0.01555080541362219,1.0,1.0,0.01662582045308151,1.0,1.0,,,,,,
186,483872,2976,0.017517450860507332,1.0,1.0,,,,,,,,,
187,486448,2992,0.016706470349781465,1.0,1.0,,,,,,,,,
188,489152,3008,0.016455584776439696,1.0,1.0,,,,,,,,,
189,491600,3024,0.01739675196371705,1.0,1.0,,,,,,,,,
190,494176,3040,0.01660422560432461,1.0,1.0,,,,,,,,,
191,497008,3056,0.014299533990002111,1.0,1.0,,,,,,,,,
192,499584,3072,0.0169557946339972,1.0,1.0,,,,,,,,,
193,502288,3088,0.017337637658317796,1.0,1.0,0.01682492998797191,1.0,1.0,,,,,,
194,504864,3104,0.01409417078738646,1.0,1.0,,,,,,,,,
195,507440,3120,0.017332404430484796,1.0,1.0,,,,,,,,,
196,510144,3136,0.017426229136576994,1.0,1.0,,,,,,,,,
197,512592,3152,0.016317003355763717,1.0,1.0,,,,,,,,,
198,515296,3168,0.014529790925817562,1.0,1.0,,,,,,,,,
199,517872,3184,0.016375253159501873,1.0,1.0,,,,,,,,,
200,520448,3200,0.015627326730856324,1.0,1.0,,,,,,,,,
201,523024,3216,0.017642730192034734,1.0,1.0,0.015893891571531173,1.0,1.0,,,,,,
202,525600,3232,0.016914300265554995,1.0,1.0,,,,,,,,,
203,528048,3248,0.017208745759963076,1.0,1.0,,,,,,,,,
204,530624,3264,0.01684004082934442,1.0,1.0,,,,,,,,,
205,533456,3280,0.018278960432094957,1.0,1.0,,,,,,,,,
206,536032,3296,0.01701399519743893,1.0,1.0,,,,,,,,,
207,538608,3312,0.016305052420523203,1.0,1.0,,,,,,,,,
208,541312,3328,0.015393805215937525,1.0,1.0,,,,,,,,,
209,543888,3344,0.015967189031342883,1.0,1.0,0.01706492944497175,1.0,1.0,,,,,,
210,546592,3360,0.016706500659565058,1.0,1.0,,,,,,,,,
211,549168,3376,0.016277003129047264,1.0,1.0,,,,,,,,,
212,551744,3392,0.018869878775651692,1.0,1.0,,,,,,,,,
213,554320,3408,0.016430866301154222,1.0,1.0,,,,,,,,,
214,557024,3424,0.015818993047893092,1.0,1.0,,,,,,,,,
215,559600,3440,0.016840270386087226,1.0,1.0,,,,,,,,,
216,562176,3456,0.017186075675613484,1.0,1.0,,,,,,,,,
217,564880,3472,0.01646367030747808,1.0,1.0,0.01589071203846709,1.0,1.0,,,,,,
218,567456,3488,0.015888907905765564,1.0,1.0,,,,,,,,,
219,570032,3504,0.01716243004651257,1.0,1.0,,,,,,,,,
220,572608,3520,0.019506270539030604,1.0,1.0,,,,,,,,,
221,575056,3536,0.015546396607863324,1.0,1.0,,,,,,,,,
222,577760,3552,0.01634139502538796,1.0,1.0,,,,,,,,,
223,580336,3568,0.015494368721573887,1.0,1.0,,,,,,,,,
224,582912,3584,0.018494278199787467,1.0,1.0,,,,,,,,,
225,585488,3600,0.019138529663422693,1.0,1.0,0.015511154925127542,1.0,1.0,,,,,,
226,588064,3616,0.020010171429140505,1.0,1.0,,,,,,,,,
227,590512,3632,0.016814177449620347,1.0,1.0,,,,,,,,,
228,593088,3648,0.01704948331084844,1.0,1.0,,,,,,,,,
229,595792,3664,0.016323314981245788,1.0,1.0,,,,,,,,,
230,598368,3680,0.017679829774237328,1.0,1.0,,,,,,,,,
231,601328,3696,0.0139498904495879,1.0,1.0,,,,,,,,,
232,603904,3712,0.018461445599341247,1.0,1.0,,,,,,,,,
233,606480,3728,0.014781002921296476,1.0,1.0,0.014985663001592936,1.0,1.0,,,,,,
234,609056,3744,0.01730080433575401,1.0,1.0,,,,,,,,,
235,611632,3760,0.018310044019691683,1.0,1.0,,,,,,,,,
236,614208,3776,0.014783034782535332,1.0,1.0,,,,,,,,,
237,616912,3792,0.016499716274429817,1.0,1.0,,,,,,,,,
238,619488,3808,0.01512895593763217,1.0,1.0,,,,,,,,,
239,622064,3824,0.01658486488569728,1.0,1.0,,,,,,,,,
240,624640,3840,0.016970014074650916,1.0,1.0,,,,,,,,,
241,627088,3856,0.016089983395624202,1.0,1.0,0.01428314788551977,1.0,1.0,,,,,,
242,629664,3872,0.015262337834598188,1.0,1.0,,,,,,,,,
243,632240,3888,0.016727449989904376,1.0,1.0,,,,,,,,,
244,634816,3904,0.01497944359835105,1.0,1.0,,,,,,,,,
245,637392,3920,0.01628370191869517,1.0,1.0,,,,,,,,,
246,639968,3936,0.01618751668115794,1.0,1.0,,,,,,,,,
247,642416,3952,0.015403957061076893,1.0,1.0,,,,,,,,,
248,644992,3968,0.01597210634286347,1.0,1.0,,,,,,,,,
249,647696,3984,0.017092396024898378,1.0,1.0,0.0160070146397533,1.0,1.0,,,,,,
250,650272,4000,0.016399173696528786,1.0,1.0,,,,,,,,,
251,652976,4016,0.0173281797645025,1.0,1.0,,,,,,,,,
252,655680,4032,0.017062097680482842,1.0,1.0,,,,,,,,,
253,658256,4048,0.017104608300373067,1.0,1.0,,,,,,,,,
254,660832,4064,0.018061510869672292,1.0,1.0,,,,,,,,,
255,663408,4080,0.013028678904202506,1.0,1.0,,,,,,,,,
256,665984,4096,0.01527817202451919,1.0,1.0,,,,,,,,,
257,668560,4112,0.016337785400500633,1.0,1.0,0.01742452026205814,1.0,1.0,,,,,,
258,671136,4128,0.018361405448559374,1.0,1.0,,,,,,,,,
259,673712,4144,0.01619666476215702,1.0,1.0,,,,,,,,,
260,676416,4160,0.01739251994965229,1.0,1.0,,,,,,,,,
261,679120,4176,0.015831092697853155,1.0,1.0,,,,,,,,,
262,681824,4192,0.01816438881681648,1.0,1.0,,,,,,,,,
263,684400,4208,0.017488609597884515,1.0,1.0,,,,,,,,,
264,686976,4224,0.01776869514254637,1.0,1.0,,,,,,,,,
265,689680,4240,0.01623842004228202,1.0,1.0,0.01740735500746107,1.0,1.0,,,,,,
266,692256,4256,0.014249109181180974,1.0,1.0,,,,,,,,,
267,694704,4272,0.016901361679283373,1.0,1.0,,,,,,,,,
268,697280,4288,0.014977659840871599,1.0,1.0,,,,,,,,,
269,699984,4304,0.016404626092505422,1.0,1.0,,,,,,,,,
270,702560,4320,0.01591028174424785,1.0,1.0,,,,,,,,,
271,705264,4336,0.01669357891527912,1.0,1.0,,,,,,,,,
272,707840,4352,0.015688819858429497,1.0,1.0,,,,,,,,,
273,710416,4368,0.01630199353184384,1.0,1.0,0.01721555618514177,1.0,1.0,,,,,,
274,713248,4384,0.014503173419988942,1.0,1.0,,,,,,,,,
275,715952,4400,0.016534684140577273,1.0,1.0,,,,,,,,,
276,718400,4416,0.016520680229011514,1.0,1.0,,,,,,,,,
277,720976,4432,0.01681653675523208,1.0,1.0,,,,,,,,,
278,723552,4448,0.015709585442468577,1.0,1.0,,,,,,,,,
279,726000,4464,0.01667937491145528,1.0,1.0,,,,,,,,,
280,728576,4480,0.01884269152655265,1.0,1.0,,,,,,,,,
281,731152,4496,0.01841883390812175,1.0,1.0,0.016833634718336692,1.0,1.0,,,,,,
282,733728,4512,0.014286680690212671,1.0,1.0,,,,,,,,,
283,736304,4528,0.01730468809184923,1.0,1.0,,,,,,,,,
284,739008,4544,0.01594748593089418,1.0,1.0,,,,,,,,,
285,741584,4560,0.01849939306542287,1.0,1.0,,,,,,,,,
286,744160,4576,0.016008177146796383,1.0,1.0,,,,,,,,,
287,746736,4592,0.014980112691615718,1.0,1.0,,,,,,,,,
288,749440,4608,0.016046474816885273,1.0,1.0,,,,,,,,,
289,752016,4624,0.017575543375829648,1.0,1.0,0.018773064576365447,1.0,1.0,,,,,,
290,754720,4640,0.015689904838103022,1.0,1.0,,,,,,,,,
291,757296,4656,0.014729016249726076,1.0,1.0,,,,,,,,,
292,759872,4672,0.016145225925535144,1.0,1.0,,,,,,,,,
293,762448,4688,0.016266330454425028,1.0,1.0,,,,,,,,,
294,765152,4704,0.015981633227712493,1.0,1.0,,,,,,,,,
